2500,5
1500,3
1575,3
2700,4
1500,3
2995,4
1795,3
1800,3
1800,3
1775,3
2000,3
1750,4
1775,3
1775,3
2495,3
2499,3
1950,4
2799,3
2200,4
2050,4
2100,4
2100,3
2200,3
2150,3
2350,5
3150,4
1935,4
1975,4
2000,4
1950,3
2200,4
2200,3
2150,3
2250,3
2250,3
2349,3
2500,4
2150,3
2260,4
2700,4
1860,3
2700,5
1500,3
1900,4
3200,4
2440,4
1775,3
2600,3
2200,3
1795,3
1995,3
1995,3
2900,3
2255,4
2200,4
1775,3
1935,4
1935,4
1900,4
2000,3
2175,4
2225,4
2475,4
2150,3
3000,4
2910,3
2800,3
3800,4
1995,4
2100,4
2200,3
2000,3
