address,rent,link,beds,baths,sqft
2524 Ridge Rd,1795,https://realtor.com/rentals/details/2524-Ridge-Rd_Blacksburg_VA_24060_M68999-20502,3,2.5,1440
410 Alleghany St,2700,https://realtor.com/rentals/details/410-Alleghany-St_Blacksburg_VA_24060_M54560-40188,4,3.0,2312
1721 Donlee Dr,1500,https://realtor.com/rentals/details/1721-Donlee-Dr_Blacksburg_VA_24060_M50779-51307,3,2.0,1400
1477 Sandy Cir,2000,https://realtor.com/rentals/details/1477-Sandy-Cir_Blacksburg_VA_24060_M96627-57021,3,2.0,1320
315 Sunset Blvd,2200,https://realtor.com/rentals/details/315-Sunset-Blvd_Blacksburg_VA_24060_M61675-70200,3,3.0,1659
114 Southampton Ct # 1,2600,https://realtor.com/rentals/details/114-Southampton-Ct-1_Blacksburg_VA_24060_M92294-23511,3,2.5,1848
601 Leisure Ln,2900,https://realtor.com/rentals/details/601-Leisure-Ln_Blacksburg_VA_24060_M53398-07713,3,3.0,2607
1918 Sussex Rd,2255,https://realtor.com/rentals/details/1918-Sussex-Rd_Blacksburg_VA_24060_M64205-31418,4,3.5,1920
215 S Knollwood Dr Ste 4204,1775,https://realtor.com/rentals/details/215-S-Knollwood-Dr-Ste-4204_Blacksburg_VA_24060_M59565-59061,3,2.0,1152
141 Clover Valley Cir,2200,https://realtor.com/rentals/details/141-Clover-Valley-Cir_Blacksburg_VA_24060_M68139-85238,4,3.0,1480
831 Claytor Sq,1775,https://realtor.com/rentals/details/831-Claytor-Sq_Blacksburg_VA_24060_M66915-29351,3,2.0,885
1203 University Ter Apt E,1935,https://realtor.com/rentals/details/1203-University-Ter-Apt-E_Blacksburg_VA_24060_M68599-34145,4,2.0,935
1210 University Ter Apt J,1935,https://realtor.com/rentals/details/1210-University-Ter-Apt-J_Blacksburg_VA_24060_M54480-14741,4,2.0,1071
1205 University Ter Apt L,1900,https://realtor.com/rentals/details/1205-University-Ter-Apt-L_Blacksburg_VA_24060_M54463-75040,4,2.0,935
400 Berryfield Ln Apt F,2225,https://realtor.com/rentals/details/400-Berryfield-Ln-Apt-F_Blacksburg_VA_24060_M68534-87137,4,2.0,1166
882 Patrick Henry Dr,2475,https://realtor.com/rentals/details/882-Patrick-Henry-Dr_Blacksburg_VA_24060_M51707-32132,4,2.0,1280
1208 University Ter Apt B,2175,https://realtor.com/rentals/details/1208-University-Ter-Apt-B_Blacksburg_VA_24060_M54473-43954,4,2.0,1071
124 Camelot Ct,2150,https://realtor.com/rentals/details/124-Camelot-Ct_Blacksburg_VA_24060_M52283-19385,3,2.5,1342
800 Patrick Henry Dr,3000,https://realtor.com/rentals/details/800-Patrick-Henry-Dr_Blacksburg_VA_24060_M52745-55048,4,3.0,1520
1755 Staniel Dr,3800,https://realtor.com/rentals/details/1755-Staniel-Dr_Blacksburg_VA_24060_M92937-08167,4,3.5,2332
201 Uptown Trl,2910,https://realtor.com/rentals/details/201-Uptown-Trl_Blacksburg_VA_24060_M94123-12835,3,3.5,1568
888 Patrick Henry Dr,2800,https://realtor.com/rentals/details/888-Patrick-Henry-Dr_Blacksburg_VA_24060_M52025-94513,3,3.0,1280
1206 University Ter Apt L,1995,https://realtor.com/rentals/details/1206-University-Ter-Apt-L_Blacksburg_VA_24060_M54468-22231,4,2.0,935
1208 University Ter Apt F,2100,https://realtor.com/rentals/details/1208-University-Ter-Apt-F_Blacksburg_VA_24060_M68873-56957,4,2.0,1071
206 Broce Dr,2200,https://realtor.com/rentals/details/206-Broce-Dr_Blacksburg_VA_24060_M69389-86582,3,2.0,1201
2700 Meadowbrook Dr,2000,https://realtor.com/rentals/details/2700-Meadowbrook-Dr_Blacksburg_VA_24060_M90487-32715,3,2.0,1480
